,CourseId,CourseNo,CourseName,CourseCode,CourseCredits,CourseTypeName,CourseTeachers,CourseDay,StartUnit,EndUnit
0,444764,4607,财务分析学,110100220,2,学科基础课平台选修课长学段,任海峙,2,9,10
1,444864,4707,财务管理基础,110210220,2,学科基础课平台选修课长学段,蒋小敏,1,9,10
2,444766,4609,公司战略与风险管理,110230220,2,学科基础课平台选修课长学段,蒋小敏,2,9,10
3,444767,4610,管理会计,110240220,2,学科基础课平台选修课长学段,吕立伟,2,9,10
4,444768,4611,内部控制学,110290220,2,学科基础课平台选修课长学段,刘春奇,1,9,10
5,448530,7690,企业价值评估,110310220,2,学科基础课平台选修课长学段,王平,1,9,10
6,444770,4613,审计学原理,110330220,2,学科基础课平台选修课长学段,安宁,1,11,12
7,444771,4614,银行会计,110410220,2,学科基础课平台选修课长学段,张慧珏,3,11,12
8,444772,4615,注册会计师审计,110480220,2,学科基础课平台选修课长学段,安宁,2,9,10
9,444773,4616,资产评估,110490220,2,学科基础课平台选修课长学段,王平,1,11,12
10,444774,4617,财务管理案例,110580220,2,学科基础课平台选修课长学段,刘莹,2,11,12
11,444778,4621,管理会计基础(全英语),110750223,2,学科基础课平台选修课长学段,闫茜,3,9,10
12,444780,4623,审计学案例,111050220,2,学科基础课平台选修课长学段,安宁,1,9,10
13,444782,4625,财务会计,111570320,3,学科基础课平台选修课长学段,张胜莲,2,9,11
14,444783,4626,财务会计基础(全英语),111590223,2,学科基础课平台选修课长学段,邵丽丽,1,9,10
15,444978,4821,职业心理学,111640220,2,人文社科类,卫志红,1,9,10
16,444965,4808,财经伦理,112630220,2,人文社科类,丁琳,1,9,10
17,444769,4612,会计信息化软件应用,113890220,2,学科基础课平台选修课长学段,王丹,2,9,10
18,448710,0559,会计信息化软件应用,113890220,2,学科基础课平台选修课长学段,王秀春,1,9,10
19,445187,5030,互联网金融,120010220,2,科学技术类,刘萍,2,11,12
20,444588,4431,固定收益证券,120110220,2,学科基础课平台选修课长学段,花俊洲,3,9,10
21,444589,4432,国际金融学,120140320,3,学科基础课平台选修课长学段,金融待定1,2,9,11
22,444590,4433,证券投资学,120190220,2,学科基础课平台选修课长学段,张云,3,9,10
23,445189,5032,Maple系统与经济金融应用,120210220,2,科学技术类,孙力军,3,9,10
24,445190,5033,Stata社会经济统计分析,120220220,2,科学技术类,方茜,3,9,10
25,445152,4995,国内外黄金投资策略研究,120250220,2,国际视野类,方磊,3,9,10
26,445166,5009,金融制度比较,120280220,2,国际视野类,金融待定1,4,11,12
27,445167,5010,经济地理学,120290220,2,国际视野类,彭晓峰,3,9,10
28,445547,5390,经济史中的智慧,120300220,2,国际视野类,彭晓峰,4,9,10
29,444968,4811,漫谈信用,120310220,2,人文社科类,李杰群,3,9,10
30,445153,4996,人民币汇率问题研究,120340220,2,国际视野类,张晖,3,9,10
31,444969,4812,英文诗歌鉴赏,120390220,2,人文社科类,江金彦,3,9,10
32,444971,4814,中国金融史,120410220,2,人文社科类,彭晓峰,3,11,12
33,444591,4434,金融风险管理,120440220,2,学科基础课平台选修课长学段,黄旭成,2,9,10
34,444592,4435,金融工程学,120450220,2,学科基础课平台选修课长学段,郑伟,3,9,10
35,444887,4730,金融市场学,120490320,3,学科基础课平台选修课长学段,童斌,1,9,11
36,444594,4437,商业银行学,120530320,3,学科基础课平台选修课长学段,李雪静,3,9,11
37,444926,4769,信用管理学,120790220,2,学科基础课平台选修课长学段,吴洁,3,11,12
38,444927,4770,信用评级,120800220,2,学科基础课平台选修课长学段,黄燕,3,9,10
39,444877,4720,当代金融学说,120840120,1,学科基础课平台选修课长学段,金融待定1,3,11,12
40,444879,4722,个人理财,120880220,2,学科基础课平台选修课长学段,刘萍,4,11,12
41,445155,4998,国际金融中心建设动态,12091012C,1,国际视野类,方源涛,2,9,10
42,444972,4815,钱币与金融文化,121100220,2,人文社科类,金融待定1,1,9,10
43,444880,4723,投资银行学,121180320,3,学科基础课平台选修课长学段,王向进,3,9,11
44,444573,4416,现代金融服务综合仿真实习,123340224,2,实践选修课长学段,蒋芙沙,2,9,12
45,444899,4742,银行基本技能,123360124,1,实践选修课长学段,吴良,3,9,12
46,444748,4591,商业银行柜面业务模拟实验,123370124,1,实践选修课长学段,蒋芙沙,3,9,12
47,444902,4745,商业银行信贷业务模拟实验,123380124,1,实践选修课长学段,吴良,1,9,12
48,448549,7709,一带一路国家投资风险概论,124650220,2,国际视野类,聂峰,1,9,10
49,448945,0577,国际市场营销学,130040220,2,国际视野类,郭小婷,4,11,12
50,444630,4473,人力资源管理,130060220,2,学科基础课平台选修课长学段,戴天晟,1,11,12
51,444938,4781,房地产市场营销,130250220,2,学科基础课平台选修课长学段,,4,9,10
52,444603,4446,公共关系学,130480220,2,学科基础课平台选修课长学段,,2,9,10
53,444604,4447,供应链管理,130490220,2,学科基础课平台选修课长学段,汪元锋,2,9,10
54,444605,4448,广告与整合营销传播,130560220,2,学科基础课平台选修课长学段,朱启红,1,11,12
55,444643,4486,现代物流学,130580220,2,学科基础课平台选修课长学段,王晓光,4,11,12
56,444928,4771,管理学概论,130700220,2,学科基础课平台选修课长学段,工商待定18,2,11,12
57,445290,5133,客户关系管理,130760220,2,学科基础课平台选修课长学段,,1,11,12
58,444607,4450,品牌管理,130810220,2,学科基础课平台选修课长学段,董晓舟,2,9,10
59,444646,4489,人员素质测评,130910220,2,学科基础课平台选修课长学段,戴天晟,2,11,12
60,445291,5134,商务文化与交流(全英语),130950223,2,国际视野类,周茂涛,2,11,12
61,445515,5358,商务文化与交流(全英语),130950223,2,国际视野类,周茂涛,3,11,12
62,445078,4921,商务文化与交流(全英语),130950223,2,学科基础课平台选修课长学段,周茂涛,2,9,10
63,444932,4775,市场调研与预测,131000210,2,学科基础课平台选修课长学段,徐小龙,2,9,10
